Hour,PULocationID,Dayofweek,Demanda
1,138,4,2.53
1,138,5,1.89
1,138,6,1.5
1,141,0,1.52
1,141,1,1.75
1,141,2,2.36
1,141,3,2.8
1,141,4,3.95
1,141,5,7.87
1,141,6,9.13
1,142,0,1.62
1,142,1,1.8
1,142,2,2.74
1,142,3,3.09
1,142,4,4.03
1,142,5,7.03
1,142,6,8.09
1,143,0,0.28
1,143,1,0.33
1,143,2,0.36
1,143,3,0.54
1,143,4,0.6
1,143,5,1.45
1,143,6,1.41
1,144,0,1.21
1,144,1,1.12
1,144,2,2.49
1,144,3,3.9
1,144,4,9.48
1,144,5,21.33
1,144,6,24.14
1,151,0,0.24
1,151,1,0.28
1,151,2,0.29
1,151,3,0.28
1,151,4,0.34
1,151,5,0.81
1,151,6,0.95
1,161,0,1.81
1,161,1,2.99
1,161,2,4.07
1,161,3,5.31
1,161,4,5.54
1,161,5,7.04
1,161,6,9.24
1,162,0,2.32
1,162,1,3.03
1,162,2,3.94
1,162,3,4.22
1,162,4,4.71
1,162,5,6.9
1,162,6,7.74
1,163,0,1.76
1,163,1,1.8
1,163,2,3.12
1,163,3,3.99
1,163,4,5.18
1,163,5,8.61
1,163,6,10.35
1,164,0,2.93
1,164,1,3.69
1,164,2,5.05
1,164,3,6.49
1,164,4,9.36
1,164,5,16.12
1,164,6,18.36
1,170,0,2.6
1,170,1,2.37
1,170,2,2.96
1,170,3,3.78
1,170,4,5.33
1,170,5,9.64
1,170,6,11.75
1,211,0,0.35
1,211,1,0.13
1,211,2,0.53
1,211,3,1.23
1,211,4,3.12
1,211,5,6.85
1,211,6,6.05
1,224,0,0.11
1,224,1,0.02
1,224,2,0.13
1,224,3,0.23
1,224,4,0.23
1,224,5,0.87
1,224,6,1.07
1,229,0,1.31
1,229,1,1.6
1,229,2,2.39
1,229,3,2.81
1,229,4,3.66
1,229,5,6.03
1,229,6,7.61
1,233,0,0.72
1,233,1,0.78
1,233,2,1.23
1,233,3,1.49
1,233,4,1.83
1,233,5,3.15
1,233,6,3.11
1,234,0,2.37
1,234,1,1.94
1,234,2,3.41
1,234,3,5.56
1,234,4,7.87
1,234,5,18.13
1,234,6,18.69
1,236,0,0.57
1,236,1,0.67
1,236,2,1.02
1,236,3,1.09
1,236,4,1.46
1,236,5,2.67
1,236,6,2.88
1,237,0,1.01
1,237,1,1.08
1,237,2,2.17
1,237,3,2.85
1,237,4,3.41
1,237,5,5.67
1,237,6,6.72
1,239,0,1.08
1,239,1,1.08
1,239,2,1.44
1,239,3,1.47
1,239,4,2.0
1,239,5,5.46
1,239,6,6.18
1,249,0,6.27
1,249,1,5.28
1,249,2,9.1
1,249,3,11.72
1,249,4,20.74
1,249,5,60.01
1,249,6,62.02
1,263,0,1.45
1,263,1,1.43
1,263,2,2.17
1,263,3,2.36
1,263,4,4.57
1,263,5,8.57
1,263,6,10.62
2,43,0,0.07
2,43,1,0.03
2,43,2,0.2
2,43,3,0.23
2,43,4,0.2
2,43,5,0.5
2,43,6,0.49
2,48,0,4.55
2,48,1,3.79
2,48,2,4.55
2,48,3,6.85
2,48,4,8.47
2,48,5,21.21
2,48,6,23.66
2,68,0,2.21
2,68,1,2.22
2,68,2,2.36
2,68,3,4.58
2,68,4,5.39
2,68,5,11.95
2,68,6,13.84
2,79,0,3.52
2,79,1,2.7
2,79,2,6.53
2,79,3,6.04
2,79,4,12.53
2,79,5,61.63
2,79,6,64.17
2,90,0,1.69
2,90,1,1.37
2,90,2,1.99
2,90,3,2.49
2,90,4,4.19
2,90,5,11.18
2,90,6,12.29
2,107,0,1.13
2,107,1,0.97
2,107,2,1.65
2,107,3,2.56
2,107,4,3.55
2,107,5,14.07
2,107,6,15.43
2,113,0,0.56
2,113,1,0.44
2,113,2,0.9
2,113,3,0.93
2,113,4,1.9
2,113,5,8.96
2,113,6,8.53
2,132,0,9.8
2,132,1,7.22
2,132,2,3.99
2,132,3,3.42
2,132,4,6.44
2,132,5,4.91
2,132,6,5.76
2,137,0,0.72
2,137,1,0.69
2,137,2,0.86
2,137,3,1.27
2,137,4,1.52
2,137,5,4.39
2,137,6,5.1
2,138,0,0.95
2,138,1,1.34
2,138,2,0.12
2,138,3,0.17
2,138,4,1.22
2,138,5,0.54
2,138,6,0.78
2,141,0,1.15
2,141,1,1.16
2,141,2,1.38
2,141,3,1.77
2,141,4,2.46
2,141,5,4.94
2,141,6,5.78
2,142,0,0.61
2,142,1,0.63
2,142,2,0.83
2,142,3,0.95
2,142,4,1.2
2,142,5,2.66
2,142,6,2.97
2,143,0,0.33
2,143,1,0.22
2,143,2,0.22
2,143,3,0.21
2,143,4,0.3
2,143,5,0.54
2,143,6,0.7
2,144,0,0.75
2,144,1,0.46
2,144,2,1.33
2,144,3,1.94
2,144,4,6.28
2,144,5,17.89
2,144,6,19.83
2,151,0,0.2
2,151,1,0.1
2,151,2,0.23
2,151,3,0.21
2,151,4,0.21
2,151,5,0.39
2,151,6,0.49
2,161,0,0.83
2,161,1,1.07
2,161,2,1.65
2,161,3,1.93
2,161,4,2.36
2,161,5,3.58
2,161,6,3.34
2,162,0,0.6
2,162,1,1.48
2,162,2,1.56
2,162,3,2.1
2,162,4,2.62
2,162,5,3.85
2,162,6,4.15
2,163,0,1.03
2,163,1,1.32
2,163,2,1.65
2,163,3,1.96
2,163,4,2.96
2,163,5,5.18
2,163,6,6.43
2,164,0,1.49
2,164,1,1.77
2,164,2,2.42
2,164,3,3.03
2,164,4,4.94
2,164,5,10.27
2,164,6,11.74
2,170,0,0.89
2,170,1,1.06
2,170,2,1.28
2,170,3,1.61
2,170,4,2.6
2,170,5,5.82
2,170,6,6.51
2,211,0,0.21
2,211,1,0.11
2,211,2,0.3
2,211,3,0.59
2,211,4,1.68
2,211,5,5.0
2,211,6,5.19
2,224,0,0.12
2,224,1,0.04
2,224,2,0.09
2,224,3,0.05
2,224,4,0.14
2,224,5,0.72
2,224,6,0.76
2,229,0,0.85
2,229,1,0.93
2,229,2,1.03
2,229,3,1.76
2,229,4,2.08
2,229,5,4.22
2,229,6,4.61
2,233,0,0.48
2,233,1,0.4
2,233,2,0.56
2,233,3,0.71
2,233,4,0.86
2,233,5,2.0
2,233,6,2.01
2,234,0,0.91
2,234,1,0.75
2,234,2,1.76
2,234,3,2.53
2,234,4,3.17
2,234,5,11.2
2,234,6,11.24
2,236,0,0.25
2,236,1,0.28
2,236,2,0.35
2,236,3,0.46
2,236,4,0.52
2,236,5,1.2
2,236,6,1.14
2,237,0,0.26
2,237,1,0.56
2,237,2,1.0
2,237,3,1.38
2,237,4,1.57
2,237,5,2.43
2,237,6,2.62
2,239,0,0.46
2,239,1,0.41
2,239,2,0.56
2,239,3,0.6
2,239,4,1.02
2,239,5,2.79
2,239,6,2.98
2,249,0,4.08
2,249,1,3.4
2,249,2,5.59
2,249,3,6.44
2,249,4,11.96
2,249,5,44.54
2,249,6,42.23
2,263,0,1.07
2,263,1,0.82
2,263,2,1.55
2,263,3,1.38
2,263,4,2.45
2,263,5,5.47
2,263,6,6.79
3,43,0,0.07
3,43,1,0.09
3,43,2,0.07
3,43,3,0.11
3,43,4,0.13
3,43,5,0.38
3,43,6,0.24
3,48,0,3.7
3,48,1,2.92
3,48,2,3.93
3,48,3,4.35
3,48,4,6.97
3,48,5,15.76
3,48,6,18.57
3,68,0,1.57
3,68,1,1.36
3,68,2,1.57
3,68,3,2.78
3,68,4,4.09
3,68,5,11.37
3,68,6,12.19
3,79,0,2.79
3,79,1,1.62
3,79,2,4.53
3,79,3,3.97
3,79,4,8.66
3,79,5,40.48
3,79,6,42.64
3,90,0,1.27
