,Year,Manufacturer,Model,CO2 (p/mile),Miles per gallon (mpg),ef_x_comb,comb_x_year,Fuel,score_ghg,ef_x_comb_city,youSaveSpend,Alternative Fuel,createdOn,modifiedOn
623,2019,Porsche,911 Carrera,355.0,25.0,5.0,2600.0,Premium Gasoline,5.0,28.2,-3500.0,No,29-05-2018,29-05-2018
624,2019,Porsche,911 Carrera S Cabriolet,367.0,24.0,5.0,2700.0,Premium Gasoline,5.0,27.6,-4000.0,No,29-05-2018,29-05-2018
625,2019,Porsche,911 Carrera 4 Cabriolet,370.0,24.0,5.0,2700.0,Premium Gasoline,5.0,27.2,-4000.0,No,29-05-2018,29-05-2018
626,2019,Porsche,911 Carrera 4S,392.0,23.0,5.0,2850.0,Premium Gasoline,5.0,24.6,-4750.0,No,29-05-2018,29-05-2018
627,2019,Porsche,911 Carrera 4 GTS Cabriolet,419.0,21.0,4.0,3100.0,Premium Gasoline,4.0,22.9,-6000.0,No,29-05-2018,29-05-2018
628,2019,Porsche,911 Carrera 4 GTS Cabriolet,402.0,22.0,4.0,2950.0,Premium Gasoline,4.0,25.0,-5250.0,No,29-05-2018,29-05-2018
629,2019,Porsche,911 Carrera T,399.0,22.0,4.0,2950.0,Premium Gasoline,4.0,25.0,-5250.0,No,29-05-2018,29-05-2018
630,2019,Lincoln,MKT Livery AWD,491.0,18.0,3.0,2950.0,Regular Gasoline,3.0,20.0756,-5250.0,No,29-05-2018,27-06-2018
631,2019,Ford,Flex AWD,494.0,18.0,3.0,2950.0,Regular Gasoline,3.0,20.4138,-5250.0,No,29-05-2018,18-12-2018
632,2019,Porsche,Cayman,353.0,25.0,5.0,2600.0,Premium Gasoline,5.0,28.5,-3500.0,No,05-06-2018,05-06-2018
633,2019,Porsche,Cayman S,401.0,22.0,4.0,2950.0,Premium Gasoline,4.0,24.6,-5250.0,No,05-06-2018,05-06-2018
634,2019,Porsche,911 Carrera GTS,418.0,21.0,4.0,3100.0,Premium Gasoline,4.0,22.7,-6000.0,No,05-06-2018,02-05-2019
635,2019,Jaguar,XF AWD,390.0,23.0,5.0,2850.0,Premium Gasoline,5.0,24.8,-4750.0,No,05-06-2018,03-12-2018
636,2019,Subaru,Impreza 4-Door,331.0,27.0,6.0,1950.0,Regular Gasoline,6.0,30.5,-250.0,No,05-06-2018,18-12-2018
638,2019,Cadillac,XTS,408.0,22.0,4.0,2400.0,Regular Gasoline,4.0,23.3213,-2500.0,No,05-06-2018,18-12-2018
639,2019,Chevrolet,Impala,409.0,22.0,4.0,2400.0,Regular Gasoline,4.0,23.2,-2500.0,E85,05-06-2018,06-02-2019
640,2019,Jaguar,XJ,416.0,21.0,4.0,3100.0,Premium Gasoline,4.0,22.9,-6000.0,No,05-06-2018,03-12-2018
643,2019,Jaguar,XJL AWD,450.0,20.0,4.0,3250.0,Premium Gasoline,4.0,20.9,-6750.0,No,05-06-2018,03-12-2018
644,2019,Subaru,Impreza Sport 5-Door,292.0,30.0,7.0,1750.0,Regular Gasoline,7.0,35.5,750.0,No,05-06-2018,18-12-2018
645,2019,Cadillac,XTS Hearse,521.0,17.0,3.0,3100.0,Regular Gasoline,3.0,18.2,-6000.0,No,05-06-2018,13-03-2019
646,2019,Infiniti,QX60 FWD,399.0,22.0,4.0,2950.0,Premium Gasoline,4.0,24.7899,-5250.0,No,05-06-2018,08-07-2019
647,2019,Infiniti,QX60 AWD,410.0,22.0,4.0,2950.0,Premium Gasoline,4.0,23.9438,-5250.0,No,05-06-2018,08-07-2019
648,2019,Subaru,Crosstrek AWD,301.0,29.0,6.0,1850.0,Regular Gasoline,6.0,34.8152,250.0,No,05-06-2018,18-12-2018
653,2019,Chevrolet,Spark,271.0,33.0,8.0,1600.0,Regular Gasoline,8.0,39.3246,1500.0,No,13-06-2018,06-02-2019
654,2019,Toyota,Corolla LE Eco,271.0,33.0,8.0,1600.0,Regular Gasoline,8.0,38.9,1500.0,No,13-06-2018,10-08-2018
655,2019,Volvo,V90 AWD,359.0,25.0,5.0,2600.0,Premium Gasoline,5.0,26.5925,-3500.0,No,13-06-2018,03-12-2018
656,2019,Buick,Encore,312.0,28.0,6.0,1900.0,Regular Gasoline,6.0,34.2,0.0,No,13-06-2018,10-08-2018
657,2019,Cadillac,XT5,405.0,22.0,4.0,2400.0,Regular Gasoline,4.0,24.3566,-2500.0,No,13-06-2018,18-12-2018
658,2019,GMC,Terrain FWD,369.0,24.0,5.0,2700.0,Premium Gasoline,5.0,28.6,-4000.0,No,13-06-2018,18-12-2018
659,2019,Chevrolet,Equinox AWD,334.0,27.0,6.0,1950.0,Regular Gasoline,6.0,32.5695,-250.0,No,13-06-2018,10-08-2018
660,2019,Volvo,XC90 FWD,365.0,24.0,5.0,2700.0,Premium Gasoline,5.0,27.3,-4000.0,No,13-06-2018,21-09-2018
661,2019,Cadillac,Escalade 4WD,535.0,17.0,3.0,3850.0,Premium Gasoline,3.0,17.3334,-9750.0,No,13-06-2018,18-12-2018
662,2019,Chevrolet,Suburban K1500 4WD,541.0,16.0,2.0,3300.0,Regular Gasoline,2.0,17.2,-7000.0,E85,13-06-2018,10-08-2018
663,2019,Chevrolet,Suburban K1500 4WD,553.0,16.0,2.0,4100.0,Premium Gasoline,2.0,16.8,-11000.0,No,13-06-2018,10-08-2018
664,2019,GMC,Yukon K1500 XL 4WD,541.0,16.0,2.0,3300.0,Regular Gasoline,2.0,17.2,-7000.0,E85,13-06-2018,18-12-2018
665,2019,GMC,Yukon K1500 4WD,513.0,17.0,3.0,3100.0,Regular Gasoline,3.0,18.6,-6000.0,No,13-06-2018,18-12-2018
666,2019,GMC,Yukon K1500 XL 4WD,553.0,16.0,2.0,4100.0,Premium Gasoline,2.0,16.8,-11000.0,No,13-06-2018,18-12-2018
668,2019,Ford,Mustang,355.0,25.0,5.0,2100.0,Regular Gasoline,5.0,27.5,-1000.0,No,27-06-2018,18-12-2018
669,2019,Ford,Mustang Bullitt,490.0,18.0,3.0,2950.0,Regular Gasoline,3.0,18.6,-5250.0,No,27-06-2018,13-03-2019
670,2019,Toyota,Corolla Hatchback,249.0,36.0,8.0,1500.0,Regular Gasoline,8.0,42.7963,2000.0,No,27-06-2018,10-08-2018
671,2019,Toyota,Corolla Hatchback XSE,266.0,33.0,8.0,1600.0,Regular Gasoline,8.0,39.5,1500.0,No,27-06-2018,10-08-2018
672,2019,GMC,Acadia FWD,430.0,21.0,4.0,2550.0,Regular Gasoline,4.0,22.4,-3250.0,No,27-06-2018,18-12-2018
673,2019,Chevrolet,Spark ACTIV,271.0,33.0,8.0,1600.0,Regular Gasoline,8.0,39.3246,1500.0,No,03-07-2018,10-08-2018
674,2019,GMC,Terrain FWD,321.0,32.0,7.0,1850.0,Diesel,6.0,36.0,250.0,No,03-07-2018,18-12-2018
675,2019,Mitsubishi,Eclipse Cross 2WD,338.0,26.0,5.0,2050.0,Regular Gasoline,5.0,33.0773,-750.0,No,03-07-2018,26-08-2019
676,2019,BMW,X4 xDrive30i,360.0,25.0,5.0,2600.0,Premium Gasoline,5.0,27.6437,-3500.0,No,03-07-2018,10-08-2018
677,2019,Porsche,911 GT3,522.0,17.0,3.0,3850.0,Premium Gasoline,3.0,18.4,-9750.0,No,12-07-2018,12-07-2018
678,2019,Porsche,911 Turbo Cabriolet,430.0,21.0,4.0,3100.0,Premium Gasoline,4.0,23.3,-6000.0,No,12-07-2018,12-07-2018
680,2019,Hyundai,Elantra SE,272.0,33.0,8.0,1600.0,Regular Gasoline,8.0,38.2345,1500.0,No,12-07-2018,05-12-2018
681,2019,Hyundai,Elantra,281.0,32.0,7.0,1650.0,Regular Gasoline,7.0,37.0197,1250.0,No,12-07-2018,05-12-2018
